"lfdn","duration","participant_device","v_99","v_101","v_100","v_11","v_12","v_13","v_14","v_15","v_16","v_103","v_104","v_105","v_106","v_107","v_108","v_109","v_110","v_111","v_113","v_114","v_126","v_112","v_115","v_116","v_117","v_118","v_119","v_120","v_121","v_122","v_123","v_124","v_127","v_133","v_65","v_18","v_19","v_20","v_21","v_22","v_23","v_24","v_25","v_26","v_27","v_28","v_29","v_66","v_67","v_68","v_69","v_70","v_71","v_37","v_38","v_39","v_40","v_41","v_42","v_43","v_72","v_45","v_81","v_82","v_83","v_84","v_85","v_86","v_87","v_88","v_89","v_90","v_91","v_92","v_93","v_94","v_95","v_62","v_63","v_60","v_61"
2544,282,2,1,4,14,1,2,1,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,"Will mich nicht überwachen lassen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,1,2,1,2,2,2,2,2,1,2,2,2,4,4,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,NA,7,NA
2545,226,1,2,2,10,1,2,2,1,2,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,2,1,2,1,1,1,1,1,4,4,2,2,3,3,3,2,3,3,2,3,3,2,2,2,1,2,2,2,2,2,1,2,2,3,3,2,3,3,6,NA,1,NA
2546,419,0,2,4,8,1,2,1,2,2,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,0,0,2,NA,1,1,1,1,1,1,1,2,1,1,2,2,1,3,3,2,3,4,4,3,4,3,2,3,1,NA,2,3,2,2,2,2,1,1,1,2,3,3,2,3,2,2,2,4,NA,3,NA
2548,1311,1,2,3,10,1,2,1,1,2,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,1,3,5,5,3,3,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,2,2,3,2,3,2,3,4,NA,3,NA
2549,663,3,1,4,2,1,NA,2,2,2,2,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,1,2,5,5,3,4,3,4,4,2,3,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,3,NA,3,NA
2550,214,0,1,4,2,1,2,1,1,2,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,5,5,3,3,4,4,4,3,1,1,3,1,2,2,1,2,2,2,2,2,3,2,3,2,3,3,6,NA,9,NA
2551,291,0,1,4,2,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,1,1,2,1,1,1,1,2,1,1,1,2,2,5,5,1,2,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,NA,5,NA
2552,866,1,2,3,10,1,2,1,1,2,1,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,2,4,5,3,4,4,2,2,2,2,1,3,1,2,2,2,1,1,1,2,2,3,4,3,2,4,2,6,NA,1,NA
2554,102,0,1,3,2,1,1,1,1,1,2,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,2,2,4,2,3,2,2,2,2,1,1,3,1,1,1,1,1,1,1,3,2,2,1,2,2,1,1,4,NA,5,NA
2556,755,0,1,7,9,1,2,1,1,1,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,1,1,2,NA,1,1,1,1,2,2,2,2,1,2,1,2,1,3,4,2,5,4,4,2,3,2,1,3,1,3,2,3,1,1,1,2,1,1,1,3,2,3,3,2,2,2,2,3,NA,4,NA
2557,1445,0,1,5,13,1,2,1,2,1,3,0,NA,NA,NA,NA,NA,NA,NA,2,500,NA,"das geht zu weit in die Privatsphäre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,2,2,2,1,1,1,NA,1,1,5,4,2,4,4,5,4,4,4,3,2,3,3,1,3,1,2,2,2,1,1,1,2,4,4,4,4,4,4,4,4,NA,4,NA
2558,697,1,2,3,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,2,3,4,4,3,3,3,2,1,2,2,1,3,1,2,2,2,1,1,1,2,3,3,4,3,2,4,1,4,NA,4,NA
2559,554,0,1,6,5,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Keine ahnung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,3,2,3,2,3,3,2,1,2,2,2,3,2,2,2,2,2,2,2,3,3,4,4,3,2,2,2,2,NA,3,NA
2560,241,0,1,4,2,1,1,1,1,1,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,5,5,1,1,5,5,4,4,4,4,3,3,3,3,2,1,1,1,1,1,1,1,3,3,2,2,3,3,3,3,5,NA,7,NA
2561,341,2,2,5,2,1,2,1,1,2,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,4,3,2,3,3,4,2,3,2,1,1,2,3,2,3,2,2,2,1,1,1,1,2,3,3,2,3,4,4,4,4,NA,4,NA
2562,342,0,1,5,1,1,2,1,1,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,2,NA,1,1,1,1,2,NA,1,2,2,2,2,2,2,3,5,1,3,5,5,3,3,3,3,3,3,3,1,3,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,4,NA,6,NA
2563,333,0,1,3,12,1,2,1,1,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,5,4,1,2,4,4,3,3,2,3,3,2,2,3,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,5,NA,4,NA
2565,384,3,2,3,11,1,2,2,2,2,5,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,5,1,3,4,4,3,3,2,3,3,2,3,3,3,2,1,2,2,1,1,1,2,2,3,2,2,3,3,2,3,NA,3,NA
2566,137,0,2,3,2,1,2,2,1,2,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,NA,NA,NA,NA,NA,1,2,3,1,2,1,2,2,1,2,1,2,2,2,1,3,3,4,1,4,3,2,3,3,3,2,1,1,4,3,1,1,2,1,2,2,1,2,3,3,1,3,1,2,2,6,NA,8,NA
2567,1208,1,2,6,12,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,1,1,1,1,1,1,1,2,2,1,2,1,1,3,4,2,4,5,5,3,4,4,2,2,1,3,2,2,2,2,2,1,1,2,2,3,3,3,3,2,2,2,1,3,NA,4,NA
2568,343,0,1,6,7,1,2,1,1,1,2,NA,NA,0,NA,NA,NA,NA,NA,2,150,NA,"bevorzuge barauszahlung statt gutscheinen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,3,4,4,3,4,4,3,3,3,3,3,3,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,4,NA,4,NA
2569,504,0,1,5,16,1,2,1,2,2,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,5,5,4,4,4,3,4,3,3,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,NA,4,NA
2570,812,2,1,7,13,1,2,1,1,2,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,5,4,1,3,5,5,4,4,3,4,3,4,4,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,6,NA,10,NA
2571,NA,0,2,7,14,1,2,1,2,2,2,NA,NA,NA,NA,0,NA,NA,NA,2,NA,1,"ist mir zu langwierig und ich möchte nicht, dass jemand permanent auf meine Handydaten zugreifen kann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,1,1,2,2,2,1,2,2,2,2,2,3,4,1,3,4,4,4,3,3,2,2,1,3,1,3,1,2,2,2,1,1,1,2,3,3,3,4,2,4,3,4,NA,6,NA
2572,1032,0,1,5,1,1,2,1,1,2,2,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,2,NA,1,1,2,1,1,2,2,2,1,1,2,1,2,3,4,2,2,4,4,3,3,4,2,1,3,2,1,2,2,2,2,2,1,1,2,2,2,3,1,3,3,3,4,5,NA,9,NA
2573,163,2,2,5,1,1,1,1,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,1,2,2,2,2,1,1,3,3,NA,4,3,2,2,3,2,2,2,2,2,3,2,1,2,1,1,1,2,2,2,2,3,2,3,2,2,2,5,NA,4,NA
2574,152,1,2,4,3,1,1,1,1,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,1,1,1,2,1,1,1,4,4,3,2,1,4,2,1,6,NA,10,NA
2575,1386,0,1,6,3,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Das ist mir zu persönlich.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,2,NA,1,2,2,2,1,1,2,2,1,4,4,1,4,3,NA,4,4,3,2,2,3,3,1,3,2,2,1,1,2,2,2,4,3,3,4,2,3,3,3,5,NA,5,NA
2576,195,1,2,4,1,1,2,1,1,1,2,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,2,5,5,4,4,4,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,3,2,1,3,3,2,4,NA,4,NA
2577,818,1,2,3,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,2,5,5,4,4,4,2,4,2,3,4,3,2,2,2,2,2,2,2,1,1,2,3,1,1,1,1,6,NA,10,NA
2578,769,0,1,3,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,5,4,1,2,5,5,4,3,3,3,3,1,3,3,2,2,1,2,2,2,2,2,1,1,2,3,3,3,3,3,3,NA,1,NA
2580,712,1,1,3,10,1,2,1,1,2,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,3,4,4,2,4,4,1,2,4,4,2,2,2,2,2,2,1,1,1,2,2,2,3,3,2,2,1,6,NA,1,NA
2581,637,1,2,4,2,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,1,1,1,2,NA,1,1,1,1,1,1,2,2,1,2,2,1,1,5,5,1,1,5,5,4,4,2,4,2,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,4,1,3,NA,3,NA
2582,158,1,1,2,6,1,2,2,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,5,1,1,1,1,1,1,1,1,1,1,1,4,4,1,2,2,2,2,2,2,1,1,1,1,1,1,1,4,1,NA,2,NA
2583,388,0,2,2,9,1,1,1,1,2,2,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,2,NA,1,1,1,1,1,1,1,2,2,2,1,2,1,5,3,3,3,4,4,2,3,1,2,1,1,2,2,4,2,2,2,1,1,2,1,3,4,4,4,2,2,4,3,4,NA,3,NA
2585,342,0,2,3,7,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,NA,NA,2,NA,1,"Ich werde über mein Smartphpne sozusagen über3wacht werden. Das möchte ich nicht.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,6,NA,8,NA
2586,396,0,1,4,9,1,2,1,1,2,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,3,4,4,2,3,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,NA,8,NA
2587,625,0,2,7,6,1,2,1,2,1,2,NA,NA,NA,0,NA,NA,NA,NA,2,250,NA,"weil man ständig kontaktiert wird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,3,2,2,2,1,1,2,1,1,3,1,1,1,1,1,1,1,3,4,4,3,3,4,4,4,4,NA,4,NA
2588,690,1,2,4,7,1,2,1,2,2,2,NA,NA,NA,NA,0,NA,NA,NA,2,NA,1,"Weil sie auf mein Smartphone zu greifen wollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,5,4,1,2,4,4,3,3,2,2,2,3,2,NA,4,2,2,1,2,1,1,1,1,1,4,2,4,4,4,4,4,NA,4,NA
